101,Van,Fiat,Runround,6,151D987105,6.00,2020,12,15,100034,53.3456,-6.3421,140
102,Van,Ford,Transit,6,172LH234106,6.00,2021,03,30,106000,53.7654,-6.6235,160
103,Van,Citrn,Nemo,4,151D965105,6.00,2020,02,15,90034,53.3456,-6.3421,140
104,Van,Iveco,Daily,6,172LH232106,6.00,2021,03,30,90000,53.7654,-6.6235,160
105,Van,Mercds,Vito,4,151D3237105,6.00,2020,11,15,200034,53.3456,-6.3421,140
106,Van,Mitsub,Warrior,6,181LH234106,6.00,2021,04,30,146000,53.7654,-6.6235,160
107,Van,Nissan,Navara,4,142D987105,6.00,2020,12,08,140034,53.3456,-6.3421,140
108,Van,Peugt,Boxer,6,172D234106,6.00,2021,03,31,86000,53.7654,-6.6235,160
109,Van,Vlkwgn,Caddy,4,151C987105,6.00,2020,12,23,70034,53.3456,-6.3421,140
110,Van,Vlkwgn,Amarok,4,181LH234106,6.00,2021,03,30,56000,53.7654,-6.6235,160
111,Truck,Nisan,NV2500,6,99MN6538107,10.00,2021,05,24,106000,53.2543,-6.4444,240
112,Truck,Iveco,PowerStar,6,212MN6538107,10.00,2021,05,24,16000,53.2543,-6.4444,240
113,Truck,Merecedes,Actros,8,212MN6538107,10.00,2021,05,24,26000,53.2543,-6.4444,240
114,Truck,Man,TGX,8,181LH6538107,10.00,2019,05,24,6000,53.2543,-6.4444,240
115,Truck,Volvo,FM500,6,10D5538107,10.00,2020,05,24,186000,53.2543,-6.4444,240
116,Truck,Volvo,FH16,8,181D5538107,10.00,2019,05,24,126000,53.2543,-6.4444,240
117,Truck,Scania,R500,6,191MN6538107,10.00,2020,05,24,126000,53.2543,-6.4444,240
118,Truck,Scania,R370,6,201MN6538107,10.00,2021,05,24,146000,53.2543,-6.4444,240
119,Truck,Scania,R500,6,202MN6538107,10.00,2020,05,24,146000,53.2543,-6.4444,240
120,Truck,Scania,R370,6,21LH6538107,10.00,2021,05,24,12000,53.2543,-6.4444,240
111,4X4,Toyota,Hilux,6,99MN6538107,4.00,2021,05,24,106000,53.2543,-6.4444,5
112,4X4,Ford,Ranger,6,212MN6538107,4.00,2021,05,24,16000,53.2543,-6.4444,5
113,4X4,Isuzu,D-Max,8,212MN6538107,4.00,2021,05,24,26000,53.2543,-6.4444,5
114,4X4,Ssang,Musso,8,181LH6538107,4.00,2019,05,24,6000,53.2543,-6.4444,5
115,4X4,Mitsub,L200,6,10D5538107,4.00,2020,05,24,186000,53.2543,-6.4444,5
116,4X4,Ineos,Grenadier,8,181D5538107,4.00,2019,05,24,126000,53.2543,-6.4444,5
117,4X4,Ford,F-150,6,191MN6538107,4.00,2020,05,24,126000,53.2543,-6.4444,5
118,4X4,Rivian,R1T,6,201MN6538107,4.00,2021,05,24,146000,53.2543,-6.4444,5
119,4X4,Telsa,CTruck,6,202MN6538107,4.00,2020,05,24,146000,53.2543,-6.4444,5
120,4X4,Jeep,Wrangler,6,21LH6538107,4.00,2021,05,24,12000,53.2543,-6.4444,5
121,Car,Vlkwgn,Golf,4,172LH6458107,4.00,2021,10,11,10000,53.3456,-6.3421,5
122,Car,Renault,Clio,4,211C6538134,2.00,2020,10,11,8000,53.3456,-6.3421,5
123,Car,Nisan,Micra,4,10D6538444,2.00,2018,10,11,3000,53.3456,-6.3421,5
124,Car,Vlkwgn,Scirocco,4,182LH653333,2.00,2020,10,11,14000,53.3456,-6.3421,5
125,Car,Nisan,Skyline,4,161LH653834,2.00,2021,10,11,131000,53.3456,-6.3421,5
126,Car,Vlkwgn,Golf,4,162M6458107,4.00,2021,10,11,100100,53.3456,-6.3421,5
127,Car,Vlkwgn,Passat,4,201LH6538134,2.00,2020,10,11,18000,53.3456,-6.3421,5
128,Car,Vlkwgn,Polo,4,10D6558444,2.00,2018,10,11,13000,53.3456,-6.3421,5
129,Car,Vlkwgn,Scirocco,4,172LH634333,2.00,2020,10,11,14000,53.3456,-6.3421,5
130,Car,Renault,Clio,4,171LH653764,2.00,2021,10,11,30000,53.3456,-6.3421,5
131,Car,Renault,Clio,4,13M6458107,4.00,2021,10,11,100100,53.3456,-6.3421,5
132,Car,Renault,Clio,4,202LH6538134,2.00,2020,10,11,18000,53.3456,-6.3421,5
133,Car,Renault,Zoe,4,11D6558444,2.00,2018,10,11,13000,53.3456,-6.3421,5
134,Car,Renault,Captur,4,191LH634333,2.00,2020,10,11,14000,53.3456,-6.3421,5
135,Car,Renault,Megane,4,161LH653764,2.00,2021,10,11,30000,53.3456,-6.3421,5
136,Car,Kia,Rio,4,172LH6458107,4.00,2021,10,11,10000,53.3456,-6.3421,5
137,Car,Kia,Picanto,4,211C6538134,2.00,2020,10,11,8000,53.3456,-6.3421,5
138,Car,Kia,Sorento,4,10D6538444,2.00,2018,10,11,3000,53.3456,-6.3421,7
139,Car,Kia,SHybrid,4,181LH653333,2.00,2020,10,11,14000,53.3456,-6.3421,7
140,Car,Kia,Ceed,4,211LH653834,2.00,2021,10,11,131000,53.3456,-6.3421,5
141,Car,Peugeot,206,4,212M6458107,4.00,2021,10,11,100100,53.3456,-6.3421,2
142,Car,Peugeot,306,4,192LH6538134,2.00,2020,10,11,18000,53.3456,-6.3421,2
143,Car,Peugeot,207,4,192D6558444,2.00,2018,10,11,13000,53.3456,-6.3421,2
144,Car,Peugeot,307,4,172L4634333,2.00,2020,10,11,14000,53.3456,-6.3421,5
145,Car,Peugeot,307,4,171L4653764,2.00,2021,10,11,30000,53.3456,-6.3421,5
146,Car,Ford,Mondeo,4,13M66458107,4.00,2021,10,11,100100,53.3456,-6.3421,7
